Salinity,Temperature
33.5494,9.587
33.2405,15.054
33.4493,9.306
33.0237,11.305
34.1789,7.451
34.0125,7.776
33.9614,9.22
33.9963,10.003
34.1447,9.961
33.9421,9.184
33.364,12.335
33.0513,17.043
34.202,8.582
34.2382,6.485
33.3486,15.769
33.5963,16.276
33.3898,10.189
34.1956,6.479
34.1775,8.045
33.22,14.766
33.5476,15.542
33.3845,17.031
33.2843,12.219
33.9636,8.18
34.2413,8.675
34.12,9.099
33.2865,13.967
33.6356,9.203
33.3509,11.856
33.7652,9.787
33.7828,8.53
33.257,14.362
34.1827,6.695
33.3664,15.594
34.2557,6.434
33.2551,17.788
33.1094,16.363
34.0272,9.103
33.513,19.167
34.0898,7.922
33.9827,8.523
33.9149,9.638
33.7598,11.671
33.4115,16.107
34.1425,7.59
34.2507,6.579
33.1659,15.083
33.476,14.446
33.1798,17.38
33.7512,9.079
34.2339,6.653
34.0678,7.556
33.4753,19.227
33.6366,22.074
32.965,17.597
33.2664,13.976
34.0381,7.177
33.3966,15.175
34.1399,8.751
33.6953,23.261
33.9629,9.811
33.5396,15.339
32.8911,16.607
34.1598,7.769
34.1951,5.404
33.3325,16.139
33.4355,19.087
34.2127,5.972
33.8697,9.704
34.2433,7.084
33.1838,12.904
33.9068,8.946
33.1938,17.6
33.4855,13.214
33.6295,17.592
34.0357,9.042
32.925,14.325
33.4243,13.692
34.1356,8.373
34.2518,6.183
34.0324,7.979
33.2877,19.561
34.1835,7.682
33.237,16.502
33.0796,18.195
33.6925,21.591
34.2346,7.871
33.1349,15.441
33.3802,17.959
34.2567,7.09
34.3327,6.124
33.6153,16.349
33.4709,10.464
34.1173,10.288
33.5324,10.491
33.3751,14.333
34.1611,8.278
34.1008,6.12
33.2799,13.829
33.274,15.285
33.5696,17.519
33.6596,9.181
34.0097,7.594
33.8679,11.069
33.4452,11.317
33.7178,9.887
33.2196,17.914
32.8242,13.946
33.1205,13.129
33.1257,16.479
34.2708,5.836
34.1315,6.517
34.1839,8.531
34.2974,7.24
33.4595,12.644
33.1784,15.473
34.2105,6.027
33.4674,9.552
33.6421,12.453
34.2295,8.573
33.9996,8.249
33.4599,12.836
33.9543,8.951
33.9701,8.487
33.3626,17.852
33.6471,10.003
33.712,9.027
33.5605,16.475
33.9886,8.098
33.1945,13.136
34.2136,6.536
33.5736,19.669
33.2337,16.451
33.9432,8.573
33.201,12.96
33.2338,11.201
33.0783,16.115
33.5457,12.421
33.6818,9.164
34.1085,6.712
33.5907,9.519
33.4005,15.04
33.0351,13.58
34.0381,7.989
33.2145,11.866
34.1726,9.156
34.0308,8.334
33.5655,15.856
33.4295,18.471
33.6428,22.337
33.4362,10.127
34.1797,7.232
33.9896,8.113
34.2023,5.403
32.9514,14.049
33.6788,10.969
33.19,14.198
33.88,9.621
34.2495,6.089
33.4757,11.713
33.3099,14.845
33.2323,16.355
33.3656,18.165
33.2729,15.591
34.1206,6.798
33.2757,11.241
34.1825,5.717
33.9857,8.219
33.9918,8.417
33.578,11.955
33.8085,10.778
33.6217,11.955
34.19,6.54
33.235,16.354
34.0912,7.943
34.1184,7.768
33.0413,14.283
33.5626,11.143
34.1095,7.542
34.2548,6.779
32.7318,13.843
33.9437,10.115
34.0418,7.412
33.5677,15.083
34.1769,6.744
33.0933,15.667
33.1712,16.149
33.3367,19.021
34.2149,5.608
33.41,16.969
34.2472,6.651
33.3936,11.484
33.1998,16.086
33.6384,10.465
34.4226,4.452
34.1022,7.99
33.8208,18.138
33.265,16.788
34.2697,6.258
34.3308,6.217
33.568,17.513
